0.2389,0.5586,0.9373,0.6600,0.3975
 0.8062,0.6871,0.5960,0.4976,0.6022
 0.7582,0.4532,0.4324,0.6073,0.6351
 0.6228,0.4248,0.4787,0.6841,0.6224
 0.7077,0.4639,0.5675,0.6971,0.5865

  0, 0, 1, 1, 0
  1, 1, 1, 0, 1
  1, 0, 0, 1, 1
  1, 0, 0, 1, 1
  1, 0, 0, 1, 0

  0, 1, 3, 2, 0
  3, 2, 2, 1, 2
  2, 1, 1, 2, 2
  2, 1, 1, 2, 2
  2, 1, 1, 2, 1

  0, 3, 7, 4, 1
  6, 5, 4, 2, 4
  5, 2, 2, 4, 4
  4, 2, 2, 5, 4
  5, 2, 3, 5, 3

  0, 7,15, 9, 3
 12,10, 8, 5, 8
 11, 4, 4, 8, 9
  8, 4, 5,10, 8
 10, 5, 7,10, 7

  0,116,254,153,57
207,163,130,94,132
189,78,70,134,144
140,67,87,162,140
171,82,119,167,126
